date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:04	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Sep%202018%2013:33:00%20GMT	https://daily.gate.vn/robots.txt		(from )
20:33:04	599/599	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Sep%202018%2013:33:02%20GMT	https://daily.gate.vn/	E:/FPT/Template/Template/daily.gate.vn/index.html	(from )
20:33:04	48007/48007	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:00%20GMT	https://daily.gate.vn/home/	E:/FPT/Template/Template/daily.gate.vn/home/index.html	(from https://daily.gate.vn/)
20:33:04	122533/122533	---M-Z	200	added ('OK')	text/css	etag:%220226132b4d1d11:0%22	https://daily.gate.vn/Skin/css/bootstrap.min.css	E:/FPT/Template/Template/daily.gate.vn/Skin/css/bootstrap.min.css	(from https://daily.gate.vn/home/)
20:33:04	15712/15712	---M-Z	200	added ('OK')	text/css	etag:%2207039f20ed11:0%22	https://daily.gate.vn/Skin/css/bootstrap-datepicker.min.css	E:/FPT/Template/Template/daily.gate.vn/Skin/css/bootstrap-datepicker.min.css	(from https://daily.gate.vn/home/)
20:33:05	1945/1945	---M-Z	200	added ('OK')	text/css	etag:%223642b48ce37d11:0%22	https://daily.gate.vn/Skin/css/bootstrap-dialog.min.css	E:/FPT/Template/Template/daily.gate.vn/Skin/css/bootstrap-dialog.min.css	(from https://daily.gate.vn/home/)
20:33:05	75015/75015	---M-Z	200	added ('OK')	text/css	etag:%2282518b720eed11:0%22	https://daily.gate.vn/Skin/css/style.css	E:/FPT/Template/Template/daily.gate.vn/Skin/css/style.css	(from https://daily.gate.vn/home/)
20:33:05	95992/95992	---M-Z	200	added ('OK')	application/x-javascript	etag:%228014eee455d9d01:0%22	https://daily.gate.vn/Skin/js/jquery.min.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/jquery.min.js	(from https://daily.gate.vn/home/)
20:33:05	13999/13999	---M--	200	added ('OK')	image/gif	etag:%2202138f16cb8cf1:0%22	https://daily.gate.vn/Skin/images/loader-64x/Preloader_3.gif	E:/FPT/Template/Template/daily.gate.vn/Skin/images/loader-64x/Preloader_3.gif	(from https://daily.gate.vn/home/)
20:33:06	1443/1443	---M--	200	added ('OK')	image/png	etag:%22941cab92492d11:0%22	https://daily.gate.vn/Skin/images/icon-login.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon-login.png	(from https://daily.gate.vn/home/)
20:33:06	2463/2463	---M--	200	added ('OK')	image/png	etag:%22c0af3b18c1acd11:0%22	https://daily.gate.vn/Skin/images/logo.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo.png	(from https://daily.gate.vn/home/)
